.,English,Spanish,French,German,Italian,Portuguese,Polish,Japanese,Chinese
MOM_APP_NOT_FOUND,"Unable to locate Mansions of Madness, install via Steam","Imposible localizar ""Mansions of Madness"", instalar desde Steam,,"""Villen des Wahnsinns""-Installation konnte nicht gefunden werden, bitte über Steam installieren",,,,,
MOM_HEROES_NAME,Investigators,Investigadores,,Ermittler,,,,,
MOM_HERO_NAME,Investigator,Investigador,,Ermittler,,,,,
MOM_NAME,Mansions of Madness Second Edition,Las Mansiones de la Locura: Segunda Edición,,Villen des Wahnsinns: 2. Edition,,,,,
MOM_QUEST_NAME,Scenario,Escenario,,Scenario,,,,,
MONSTER,Monster,Monstruo,,Monster,,,,,
MONSTER_ATTACKS,The monster attacks.,El monstruo ataca.,,Das Monster greift an.,,,,,
MONSTER_MASTER,Master,Maestro,,Elite,,,,,
MONSTER_MINION,Minion,Esbirro,,Minion,,,,,
MONSTER_NORMAL,Normal,Normal,,Normal,,,,,

MONSTER_UNIQUE,Unique,Único,,Unique,,,,,
MOVES,Moves,Movimientos,,Züge,,,,,
MPLACE,MPlace,Posición,,MPosition,,,,,
MUSIC,Music,Música,,Musik,,,,,
NAME,Name,Nombre,,Name,,,,,
NEW,New,Nuevo,,Neu,,,,,

NEXT_EVENTS,Next Events,Siguientes Eventos,,Nächstes Ereignis,,,,,
NOT_FIRST,Not First,No Primero,,Nicht zuerst,,,,,
NO_ATTACK_MESSAGE,No Attack Message:,Mensaje no Ataca:,,Kein-Angriff-Meldung:,,,,,

NUMBER,Number,Número,,Nummer,,,,,
NUMBER_HEROS,{0} Heros:,{0} Héroes:,,{0} Helden:,,,,,
OK,Ok,Ok,,Ok,,,,,
OP,Op,Operador,,Op,,,,,
OPTIONS,Options,Opciones,,Optionen,,,,,
PLACEMENT,Placement,Colocación,,Platzierung,,,,,

PLACE_IMG,Place Img:,Poner Img:,,Platz. Bild:,,,,,
POOL_TRAITS,Pool Traits:,Atributos Posibles:,,Poolmerkmale:,,,,,
POSITION,Position,Posición,,Position,,,,,
POSITION_TYPE_HIGHLIGHT,Highlight,Destacado,,Markieren,,,,,
POSITION_TYPE_UNUSED,Unused,No Usado,,Unbenutzt,,,,,
PUZZLE,Puzzle,Puzzle,,Puzzle,,,,,
PUZZLE_ALT_LEVEL,Alt Level,Dificultad Alt.,,Schwierigkeit,,,,,
PUZZLE_CLASS,Class,Tipo,,Klasse,,,,,
PUZZLE_CLASS_SELECT,Select Class,Escoger Tipo,,Klasse wählen,,,,,
IMAGE,Image,Imagen,,Bild,,,,,

PUZZLE_LEVEL,Level,Dificultad,,Level,,,,,
PUZZLE_SELECT_IMAGE,Select Image,Escoger Imagen,,Bild wählen,,,,,
PUZZLE_SELECT_SKILL,Select Skill,Escoger Habilidad,,Fähigkeit wählen,,,,,
PUZZLE_IMAGE_CLASS,image,mosaico,,bild,,,,,
PUZZLE_CODE_CLASS,code,código,,code,,,,,
PUZZLE_SLIDE_CLASS,slide,mecanismo,,schieberaetsel,,,,,
QUEST,Quest,Escenario,,Quest,,,,,
QUEST_NAME_DOWNLOAD,Download {0},Descargar {0},,Download {0},,,,, 
QUEST_NAME_EDITOR,{0} Editor,Editar {0},,{0}-Editor,,,,, 
QUEST_NAME_UPDATE,"  [Update] {0}","  [Actualizar] {0}",,"  [Update] {0}",,,,,
QUOTA,Quota,Cuota,,Quote,,,,,
RECOVER,Recover,Recupear,,Erholen,,,,,

RELOAD,Reload,Recargar,,Aktualisieren,,,,,
REMOVE_COMPONENTS,"Remove Components:","Eliminar Componentes:",,"Erweiterungen entfernen:",,,,,
REQUIRED_EXPANSIONS,Required Expansions:,Expansiones Requeridas:,,Erforderliche Erweiterungen:,,,,,
REQUIRES_EXPANSION," Requires:  {0}"," Requiere: {0}",," Benötigt:  {0}",,,,,

REQ_TRAITS,Req. Traits:,Atributos Req.:,,Ben. Fähigk.:,,,,,
RESET,Reset,Restablecer,,Zurücksetzen,,,,,
ROTATE_TO,"Rotate: {0}","Rotar: {0}",,"Rotiere: {0}",,,,, 
ROTATION,"Rotation ({0})","Rotación ({0})",,"Rotation ({0})",,,,, 
SAVE,Save,Guardar,,Speichern,,,,,
SELECT,Select {0},Selección de {0},,{0} ausgewählt,,,,,
SELECTION,Selection,Selección,,Auswahl,,,,,
SELECT_CONTENT,Select Content,Mi Colección,,Inhalt wählen,,,,,
SELECT_EXPANSION,Select Expansion Content,Elige Colección de Expansiones,,Erweiterungsinhalt auswählen,,,,,
SELECT_ITEM,Select Item,Escoger Elemento,,Gegenstand auswählen,,,,,
SELECT_PACK,Select Pack,Selección de Paquetes,,Paket auswählen,,,,,
SELECT_TO_COPY,Select {0} To Copy,Selección de {0} a Copiar,,{0} zum Kopieren ausgewählt,,,,,
SELECT_TO_DELETE,Select {0} To Delete,Selección de {0} a Eliminar,,{0} zur Löschung ausgewählt,,,,,
SET,Set,Cambiar,,Setze,,,,,
SKILL,Skill,Atributo,,Fähigkeit,,,,,
SPAWN,Spawn,Generar,,Spawn,,,,,
STARTING_ITEM,Starting Items,Equipo Inicial,,Startgegenstände,,,,,
START_QUEST,Start {0},Iniciar {0},,Starte {0},,,,,

TESTS,Tests,Tests,,Tests,,,,,
TILE,Tile,Tablero,,Teil,,,,,

TOKEN,Token,Marcador,,Marker,,,,,
TOTAL_MOVES,Total Moves,Total Movims.,,Züge (insgesamt),,,,,
TRAITS,Traits,Atributos,,Fertigkeiten,,,,,
TRIGGER,Trigger,Activador,,Auslöser,,,,,
TYPE,Type,Tipo,,Typ,,,,,
TYPES,Types,Tipos,,Typen,,,,,
UNABLE_BUTTON,Unable Button:,Botón No Puede:,,Unmöglich-Button:,,,,,

UNDO,Undo,Deshacer,,Rückgängig,,,,,
UNIQUE_DEFEATED,Unique\nDefeated,Único\nDerrotado,,Unique\nBesiegt,,,,,
UNIQUE_INFO,Unique Information,Información de Único,,Unique-Information,,,,,
UNIQUE_MONSTER,Unique Monster,Monstruo Único,,Unique-Monster,,,,,
UNIQUE_TITLE,Unique Title,Título de Único,,Unique-Titel,,,,,
UNUSED,Unused,No Usado,,Unbenutzt,,,,,
VALUE,Value,Valor,,Wert,,,,,
VAR,Var,Variable,,Var,,,,,
VARS,Vars,Vars,,Vars,,,,,
VAR_NAME,Var Name:,Nombre Variable:,,Var-Name:,,,,,
X_ACTIVATED,{0} Activated,{0} Activado,,{0} aktiviert,,,,,
X_COLON,{0}:,{0}:,{0}:,{0}:,{0}:,{0}:,{0}:,{0}:,{0}:

//Inherited from FFG localization files
SET_FIRE,Set Fire,Prender fuego,Mettre le feu,Feuer legen,Incendia,Tocar Fogo,Podpalenie,炎トークンを置く,點火
INVESTIGATOR_ELIMINATED,Investigator Eliminated,Investigador eliminado,Investigateur éliminé,Ermittler ausgeschieden,Investigatore Eliminato,Investigador Eliminado,Wyeliminowano badacza,探索者の死亡,調查員被消滅
CLOSE,Close,Cerrar,Fermer,Schließen,Chiudi,Fechar,Zamknij,閉じる,關閉
PUZZLE_GUESS,Guess,Resolver,Proposer,Raten,Indovina,Tentar,Sprawdź,入力,猜測

UP,Up,Arriba,Haut,Oben,Su,Para Cima,Góra,上,上
DOWN,Down,Abajo,Bas,Unten,Giù,Para Baixo,Dół,下,下
LEFT,Left,Izquierda,Gauche,Links,Sinistra,Para a Esquerda,Lewo,左,左
RIGHT,Right,Derecha,Droite,Rechts,Destra,Para a Direita,Prawo,右,右

PHASE_INVESTIGATOR,Investigator Phase,Fase de los Investigadores,Phase d'Investigateur,Ermittlerphase,Fase Degli Investigatori,Fase de Investigação,Faza badaczy,探索者フェイズ,調查階段
PHASE_MYTHOS,Mythos Phase,Fase de Mitos,Phase de Mythe,Mythosphase,Fase Dei Miti,Fase do Mito,Faza mitów,神話フェイズ,神秘階段
MONSTER_STEP,Monster Step,Paso de activación de monstruos,Étape de monstre,Monsterschritt,Sottofase dei Mostri,Passo dos Monstros,Etap potworów,モンスターの活動ステップ,怪物步驟
HORROR_STEP,Horror Step,Paso de Horror,Étape d'horreur,Horrorschritt,Sottofase di Orrore,Passo dos Horrores,Etap przerażenia,恐怖判定ステップ,恐怖步驟
END_PHASE,End Phase,Fin de la fase,Terminer la phase,Phase beenden,Fine Fase,Fim de Fase,Koniec fazy,フェイズ終了,結束步驟

ATTACK_PROMPT,What type of weapon will you attack with?,¿Con qué tipo de arma vas a atacar?,Avec quel type d’arme allez-vous attaquer ?,Mit welcher Art von Waffe willst du angreifen?,Con quale tipo di arma vuoi attaccare?,Com que tipo de arma você quer atacar?,Jakim rodzajem broni atakujesz?,どの種類の武器で攻撃しますか？,你想在攻擊時使用哪種類型的武器？
ATTACK_WITH_HEAVY_WEAPON, Attack with a [i]Heavy Weapon[/i], Atacar con un [i]Arma pesada[/i], Attaquer avec une [i]Arme Lourde[/i], Mit einer [i]schweren Waffe[/i] angreifen, Attacca con un’[i]Arma Pesante[/i], Atacar com uma [i]Arma Pesada[/i], Atak [i]Ciężką bronią[/i], [i]大型武器[/i]で攻撃, 使用重型武器攻擊
ATTACK_WITH_BLADED_WEAPON, Attack with a [i]Bladed Weapon[/i], Atacar con un [i]Arma de filo[/i], Attaquer avec une [i]Arme Tranchante[/i], Mit einer [i]Klingenwaffe[/i] angreifen, Attacca con un’[i]Arma da Taglio[/i], Atacar com uma [i]Arma Branca[/i], Atak [i]Bronią sieczną[/i], [i]鋭利武器[/i]で攻撃, 使用銳器攻擊
ATTACK_WITH_FIREARM, Attack with a [i]Firearm[/i], Atacar con un [i]Arma de fuego[/i], Attaquer avec une [i]Arme à feu[/i], Mit einer [i]Schusswaffe[/i] angreifen, Attacca con un’[i]Arma da Fuoco[/i], Atacar com uma [i]Arma de Fogo[/i], Atak [i]Bronią palną[/i], [i]銃火器[/i]で攻撃, 使用槍械攻擊
ATTACK_WITH_SPELL, Attack with a Spell, Atacar con un Hechizo, Attaquer avec un Sort, Mit einem Zauber angreifen, Attacca con un Incantesimo, Atacar com um Feitiço, Atak Zaklęciem, 呪文で攻撃, 使用法術攻擊
ATTACK_WITH_UNARMED, Attack Unarmed, Atacar sin arma, Attaquer à mains nues, Unbewaffnet angreifen, Attacca Senza Armi, Atacar Desarmado, Atak bez broni, 素手で攻撃, 徒手攻擊

ACTION_X, {0}, {0}, {0}, {0}, {0}, {0}, {0}, {0}, {0}
