.,English,Spanish,French,German,Italian,Portuguese,Polish,Japanese,Chinese
D2E_NAME,Descent: Journeys in the Dark Second Edition,Descent: Viaje a las Profundidades Segunda Edición,Descent : Voyages dans les Ténèbres (Seconde Edition),Descent 2. Edition: Die Reise ins Dunkel,Descent: Viaggi nelle Tenebre - Seconda Edizione,Descent: Journeys in the Dark Second Edition,,,
D2E_QUEST_NAME,Quest,Aventura,Scenario,Szenario,Scenario,Aventura,,,
DEFEATED,Defeated,Derrotado,Eliminé,Besiegt,Sconfitto,Derrotado,,,
DELETE,Delete,Eliminar,Supprimer,Löschen,Cancella,Deletar,,,
DIALOG,Dialog,Diálogo,Dialogue,Dialog,Dialogo,Diálogo,,,
DOOR,Door,Puerta,Porte,Tür,Porta,Porta,,,
DOWNLOAD,Download,Descargar,Télécharger,Download,Scarica,Download,,,
E,E,E,E,E,E,E,,,
EFFECTS,Effects,Efectos,Effets,Auswirkungen,Effetti,Efeitos,,,
EMPTY,,,,,,,,,
END_TURN,End Turn,Fin del Turno,Fin du tour,Letzter Zug,Fine Turno,Fim do Turno,,,
ROUND,Round {0},,,,,,,,,
EVADE,Evade,Esquivar,Evasion,Ausweichen,Evadi,Evasão,,,
EVENT,Event,Evento,Evénement,Ereignis,Evento,Evento,,
EXIT,Exit,Salir,Sortir,Verlassen,Esci,Sair,,,
FINISHED,Finished,Terminado,Terminé,Fertig,Continua,Terminado,,,
FIRST,First,Primero,Premier,Erster,Primo,Primeiro,,,
FORCE_ACTIVATE,Force Activate,Forzar Activación,Forcer l'activation,Erzwinge Aktivierung,Attivazione forzata,Ativação Forçada,,,

HEALTH,Health,Salud,Santé,Ausdauer,Salute,Vida,,,
HEALTH_HERO,Per Hero,Por héroe,Per Hero,Pro Held,Per eroe,Por Herói,,,
HIGHLIGHT,Highlight,Destacar,Mettre en valeur,Markieren,In evidenza,Destaque,,,
HORROR_CHECK,Horror Check,Horror,Test d'horreur,Horrortest,Prova di Orrore,Teste de Horror,,,
INDENT,"  {0}","  {0}","  {0}","  {0}","  {0}","  {0}",,,
INFO,Info,Información,Info,Info,info,Info,,,
INFORMATION,Information,Información,Information,Information,Informazioni,Informação,,,
INITIAL_MESSAGE,Initial Message:,Mensaje Inicial:,Message de départ :,Eingangstext:,Messaggio iniziale,Mensagem Inicial,,,
ITEM,Item,Objeto,Objet,Gegenstand,Oggetto,Objeto,,,
QITEM,QItem,Objeto de Escenario,,,,,,,
KO,KO,KO,KO,KO,,,,,
LOAD_QUEST,Load {0},Cargar {0},Charger {0},Lade {0},Carica {0},,,,
LOG,Log,Log,Log,Log,Log,,,,
SKILLS,Skills,Habilidades,,Fähigkeiten,,,,,
ITEMS,Items,Objetos,,Gegenstände,,,,,
GOLD,Gold,Oro,,Gold,,,,,
MAIN_MENU,Main Menu,Menú Principal,Menu principal,Hauptmenü,Menu Principale,,,,
MAX,Max,Max,Max,Max,Max,,,,
MAX_CAM,Max Cam,Cam Max,Max Cam,Kam Max,Cam Max,,,,
MENU,Menu,Menú,Menu,Menü,Menu,,,
MIN,Min,Min,Min,Min,Min,,,,
MIN_CAM,Min Cam,Cam Min,Min Cam,Kam Min,Cam Min,,,,
MOM_APP_NOT_FOUND,"Unable to locate Mansions of Madness, install via Steam","Imposible localizar ""Mansions of Madness"", instalar desde Steam,"Impossible de localiser l'installation des Demeures de l'Epouvante via Steam","""Villen des Wahnsinns""-Installation konnte nicht gefunden werden, bitte über Steam installieren","Impossibile trovare "Le Case della Follia", installalo con Steam",,,,
MOM_HEROES_NAME,Investigators,Investigadores,Investigateurs,Ermittler,Investigatori,,,,
MOM_HERO_NAME,Investigator,Investigador,Investigateur,Ermittler,Investigatore,,,,
MOM_NAME,Mansions of Madness Second Edition,Las Mansiones de la Locura: Segunda Edición,Les Demeures de l'Epouvante Seconde Edition,Villen des Wahnsinns: 2. Edition,Le Case della Follia Seconda Edizione,,,,
MOM_QUEST_NAME,Scenario,Escenario,Scenario,Szenario,Scenario,,,,
MONSTER,Monster,Monstruo,Monstre,Monster,Mostro,,,,
MONSTER_ATTACKS,The monster attacks.,El monstruo ataca.,Le monstre attaque.,Das Monster greift an.,Il mostro attacca,,,,
MONSTER_MASTER,Master,Maestro,Maître,Elite,Maggiore,,,,
MONSTER_MASTER_X,Master {0},Maestro {0},Maître {0},Elite {0},Maggiore {0},,,,
MONSTER_MINION,Minion,Esbirro,Serviteur,Minion,Minore,,,,
MONSTER_NORMAL,Normal,Normal,Normal,Normal,Normale,,,,

MONSTER_UNIQUE,Unique,Único,Unique,Unique,Unico,,,,
MOVES,Moves,Movimientos,Mouvements,Züge,Movimenti,,,,
MPLACE,MPlace,Posición,Position,MPosition,Posizione,,,,
MUSIC,Music,Música,Musique,Musik,Musica,,,,
NAME,Name,Nombre,Nom,Name,Nome,,,,
NEW,New,Nuevo,Nouveau,Neu,Nuovo,,,,
NEW_X,{New {0}},{Nuevo {0}},{Nouveau {0}},{Neu {0}},{Nuovo {0}},,,,
NONE,{None},{Ninguno},{Ninguno},{Keines},,,,,

NEXT_EVENTS,Next Events,Siguientes Eventos,Evénements suivants,Nächstes Ereignis,Evento Successivo,,,,
NOT_FIRST,Not First,No Primero,Pas en premier,Nicht zuerst,Non Primo,,,,
NO_ATTACK_MESSAGE,No Attack Message:,Mensaje no Ataca:,"Message en absence d'attaque :",Kein-Angriff-Meldung:,Messaggio,,,,

NUMBER,Number,Número,Numéro,Nummer,Numero,,,,
NUMBER_HEROS,{0} Heros:,{0} Héroes:,{0} Héros:,{0} Helden:,{0} Eroi:,,,,
OK,Ok,Ok,Ok,Ok,Ok,,,,
OP,Op,Operador,Opérateur,Op,Opera,,,,
OPTIONS,Options,Opciones,Options,Optionen,Opzioni,,,,
PLACEMENT,Placement,Colocación,Positionnement,Platzierung,Posizione,,,,

PLACE_IMG,Place Img:,Poner Img:,Placer Img :,Platz. Bild:,Posiziona Img:,,,,
POOL_TRAITS,Pool Traits:,Atributos Posibles:,Traits possibles :,Poolmerkmale:,Tratti Pubblici,,,,
POSITION,Position,Posición,Position,Position,Posizione,,,,
POSITION_TYPE_HIGHLIGHT,Highlight,Destacado,Mise en valeur,Markieren,Evidenzia,,,,
POSITION_TYPE_UNUSED,Unused,No Usado,Non utilisé,Unbenutzt,Inutilizzato,,,,
PUZZLE,Puzzle,Puzzle,Puzzle,Puzzle,Puzzle,,,,
PUZZLE_ALT_LEVEL,Alt Level,Dificultad Alt.,Difficulté,Schwierigkeit,Difficoltà,,,,
PUZZLE_CLASS,Class,Tipo,Classe,Klasse,Tipo,,,,
PUZZLE_CLASS_SELECT,Select Class,Escoger Tipo,Choix de la classe,Klasse wählen,Seleziona Tipo,,,,
IMAGE,Image,Imagen,Image,Bild,Immagine,,,,

PUZZLE_LEVEL,Level,Dificultad,Niveau,Level,Difficoltà,,,,
PUZZLE_SELECT_SKILL,Select Skill,Escoger Habilidad,Choisir compétence,Fähigkeit wählen,Seleziona Abilità,,,,
PUZZLE_IMAGE_CLASS,image,mosaico,image,bild,mosaico,,,,
PUZZLE_CODE_CLASS,code,código,code,code,codice,,,,
PUZZLE_SLIDE_CLASS,slide,mecanismo,mécanisme,schieberaetsel,meccanismo,,,,
QUEST,Quest,Escenario,Scenario,Szenario,Scenario,,,,
QUEST_NAME_DOWNLOAD,Download {0},Descargar {0},Télécharger {0},Download {0},Scarica {0},,,,
QUEST_NAME_EDITOR,{0} Editor,Editar {0},Editeur {0},{0}-Editor,{0} Editor,,,,
QUEST_NAME_UPDATE,"  [Update] {0}","  [Actualizar] {0}","  [Mise à jour] {0}","  [Update] {0}","  [Aggiorna] {0}",,,,
QUOTA,Quota,Cuota,Quota,Quote,Quota,,,,
RECOVER,Recover,Recupear,Récupérer,Erholen,Recupera,,,,

RELOAD,Reload,Recargar,Recharger,Aktualisieren,Ricarica,,,,
REMOVE_COMPONENTS,"Remove Components:","Eliminar Componentes:","Retirer des éléments","Komponente entfernen:","Rimuovi Componente",,,,
REQUIRED_EXPANSIONS,Required Expansions:,Expansiones Requeridas:,Extensions requises :,Erforderliche Inhalte:,Espansioni Richieste:,,,,
REQUIRES_EXPANSION," Requires:  {0}"," Requiere: {0}"," Requiert :  {0}"," Benötigt:  {0}"," Richieste: {0}",,,,

REQ_TRAITS,Req. Traits:,Atributos Req.:,"Attributs requis :",Ben. Fähigk.:,Tratti Richiesti:,,,,
RESET,Reset,Restablecer,Reset,Zurücksetzen,Reset,,,,
ROTATE_TO,"Rotate: {0}","Rotar: {0}","Tourner : {0},"Rotiere: {0}","Rotazione: {0}",,,,,
ROTATION,"Rotation ({0})","Rotación ({0})","Rotation ({0})","Rotation ({0})","Rotazione ({0})",,,,
SAVE,Save,Guardar,Sauver,Speichern,Salva,,,,
AUTOSAVE,Auto Save,Guardado Automático,,Autom. Speichern,,,,,
SELECT_SAVE,Select Save,Sel. Partida Grabada,,Speicherst. wählen,,,,,
SELECT,Select {0},Selección de {0},Choisir {0},{0} wählen,Seleziona {0},,,,
SELECT_CLASS,Select Class,Selección de Clase,,Klasse wählen,,,,,
SELECTION,Selection,Selección,Sélection,Auswahl,Selezione,,,,
SELECT_CONTENT,Select Content,Mi Colección,Choisir du contenu,Inhalt wählen,Seleziona Contenuto,,,,
SELECT_EXPANSION,Select Expansion Content,Elige Colección de Expansiones,Choix des extensions,Erweiterungsinhalt wählen,Seleziona Espansione,,,,
SELECT_IMAGE,Select Image,Escoger Imagen,Choisir Image,Bild wählen,Seleziona Immagine,,,,
SELECT_ITEM,Select Item,Escoger Elemento,Choix des objets,Gegenstand wählen,Seleziona Oggetto,,,,
SELECT_PACK,Select Pack,Selección de Paquetes,Choix des paquets,Paket wählen,Seleziona Pacchetto,,,,
SELECT_TO_COPY,Select {0} To Copy,Selección de {0} a Copiar,Choisir {0} à copier,{0} zum Kopieren ausgewählt,Selezione {0} da Copiare,,,,
SELECT_TO_DELETE,Select {0} To Delete,Selección de {0} a Eliminar,Sélectionner {0} pour le supprimmer,{0} zur Löschung ausgewählt,Selezione {0} da Cancellare,,,,,
HIDDEN,Hidden,Oculto,,Versteckt,,,,,
ACTIVE,Active,Activo,,Aktiv,,,,,
SET,Set,Cambiar,Appliquer,Setze,Set,,,,
SKILL,Skill,Atributo,Compétence,Fähigkeit,Abilità,,,,
SELECT_SKILLS,Select Skills,Selección de Habilidades,,Fähigkeiten wählen,,,,,
SPAWN,Spawn,Generar,Générer,Spawn,Generazione,,,,
STARTING_ITEM,Starting Item,Objeto Inicial,,Startgegenstand,,,,,
STARTING_ITEMS,Starting Items,Equipo Inicial,Objets de départ,Startgegenstände,Oggetti Iniziali,,,,
START_QUEST,Start {0},Iniciar {0},Démarrer {0},Starte {0},Inizio {0},,,,

TESTS,Tests,Tests,Tests,Tests,Prove,,,,
TILE,Tile,Tablero,Tuile,Teil,Tessera,,,,

TOKEN,Token,Marcador,Marqueur,Marker,Segnalino,,,,
TOOLS,Tools,Utilidades,,Werkzeuge,,,,,
TOTAL_MOVES,Total Moves,Total Movims.,Déplacements totaux,Züge (insgesamt),Movimento Totale,,,,
TRAITS,Traits,Atributos,Traits,Fertigkeiten,Tratti,,,,
TRIGGER,Trigger,Activador,Déclencheur,Auslöser,Attivatore,,,,
TYPE,Type,Tipo,Type,Typ,Tipo,,,,
TYPES,Types,Tipos,Types,Typen,Tipi,,,,
UNABLE_BUTTON,Unable Button:,Botón No Puede:,Bouton impossible,Unmöglich-Button:,Pulsante Disabilitato:,,,,

UI,UI,Interfaz,,UI,,Interface,,,
UNITS,Units,Unidades,,Einheiten,,Unidades,,,
HORIZONTAL,Horizontal,Horizontal,,Horizontal,,Horizontal,,,
VERTICAL,Vertical,Vertical,,Vertikal,,Vertical,,,
ALIGN,Align,Alinear,,Ausrichten,,Alinhamento,,,
POSITION,Position,Posición,,Position,,Posição,,,
SIZE,Size,Tamaño,,Größe,,Tamanho,,,
TEXT_SIZE,Text Size,Tamaño del Texto,,Textgröße,,Texto,,,
ASPECT,Aspect,Aspecto,,Aspekt,,Aspecto,,,
BORDER,Border,Borde,,Umrandung,,Borda,,,
NO_BORDER,No Border,Sin Borde,,Keine Umrandung,,Sem Borda,,,
UNDO,Undo,Deshacer,Défaire,Rückgängig,Indietro,Desfazer,,,
UNIQUE_DEFEATED,Unique\nDefeated,Único\nDerrotado,Unique\nBattu,Unique\nBesiegt,Unico\nSconfitto,Única\nDerrota,,,
UNIQUE_INFO,Unique Information,Información de Único,Info unique,Unique-Information,Unica Informazione,Informação Única,,,
UNIQUE_MONSTER,Unique Monster,Monstruo Único,Monstre unique,Unique-Monster,Mostro Unico,Monstro Único,,,
UNIQUE_TITLE,Unique Title,Título de Único,Titre unique,Unique-Titel,Titolo Unico,Titulo Único,,,
UNUSED,Unused,No Usado,Non utilisé,Unbenutzt,Non Usato,Não Usado,,,
VALUE,Value,Valor,Valeur,Wert,Valore,Valor,,,
VAR,Var,Variable,Variable,Var,Var,Variável,,,
VARS,Vars,Vars,Variables,Vars,Vars,Variáveis,,,
VAR_NAME,Var Name:,Nombre Variable:,Nom variable :,Var-Name:,Var Nome:,,,,
X_ACTIVATED,{0} Activated,{0} Activado,{0} Activé,{0} aktiviert,Attivo,{0},,,,

BUY,Buy,,,,,,,,
SELL,Sell,,,,,,,,
CLASS,Class,,,,,,,,
ACT_1,Act I,,,,,,,,
ACT_2,Act II,,,,,,,,

X_COLON,{0}:,{0}:,{0}:,{0}:,{0}:,{0}:,{0}:,{0}:,{0}:

//TRAITS
// regex from ab to ab,Ab,,,,,,,
// ^(([a-z])([a-z]*))\r\n  replace with \1,\U\2\E\3,,,,,,,,\r\n

//Packs
BtT,BtT ,BtT ,BtT ,BtT ,BtT ,BtT ,BtT ,BtT ,BtT 
CotW,CotW ,CotW ,CotW ,CotW ,CotW ,CotW ,CotW ,CotW ,CotW 
FA,FA ,FA ,FA ,FA ,FA ,FA ,FA ,FA ,FA 
MoM1E,MoM1E ,MoM1E ,MoM1E ,MoM1E ,MoM1E ,MoM1E ,MoM1E ,MoM1E ,MoM1E 
base,base ,base ,base ,base ,base ,base ,base ,base ,base 
RN,RN ,RN ,RN ,RN ,RN ,RN ,RN ,RN ,RN 
SM,SM ,SM ,SM ,SM ,SM ,SM ,SM ,SM ,SM 

//Items
weapon,Weapon,Arma,Arme,Waffe,Arma,Arma,,,
firearm,Firearm,Arma de Fuego,Arme à feu,Schusswaffe,Arma da Fuoco,Arma de Fogo,,,
heavyweapon,Heavy Weapon,Arma Contundente,Arme lourde,Schwere Waffe,Arma Pesante,Arma Pesada,,,
heavy,Heavy Weapon,Arma Contundente,Arme lourde,Schwere Waffe,Arma Pesante,Arma Pesada,,,
tome,Tome,Tomo,Tome,Buch,Tomo,Tomo,,,
equipment,Equipment,Equipo,Equipement,Ausrüstung,Equipaggiamento,Equipamento,,,
lightsource,Lightsource,Fuente de Luz,Source de lumière,Lichtquelle,Fonte di Luce,Fonte de Luz,,,
bladedweapon,Bladed Weapon,Arma de Filo,Arme tranchante,Klingenwaffe,Arma da Taglio,Arma de Corte,,,
bladed,Bladed Weapon,Arma de Filo,Arme tranchante,Klingenwaffe,Arma da Taglio,Arma Cortante,,,
spell,Spell,Hechizo,Sort,Zauber,Incantesimo,Feitiço,,,
key,Key,Llave,Clé,Schlüssel,Chiave,Chave,,,
evidence,Evidence,Pista,Preuve,Beweis,Prova,Evidência,,,
ally,Ally,Aliado,Allié,Verbündeter,Alleato,Aliado,,,

//Audio
menu,Menu,Menú,Menu,Menü,Menu,Menu,,,
music,Music,Música,Musique,Musik,Musica,Música,,,
quest,Quest,Escenario,Scenario,Szenario,Scenario,Aventura,,,
defeated,Defeated,Derrotado,Echec,Besiegt,Sconfitto,Derrotado,,,
newround,New Round,Nueva Ronda,Nouveau tour,Neue Runde,Nuovo Round,Novo Round,,,
attack,Attack,Ataque,Attaque,Angriff,Attacco,Ataque,,,
unarmed,Unarmed,Sin Arma,Sans arme,Unbewaffnet,Senz'Armi,Desarmado,,,
horror,Horror,Horror,Horreur,Horror,Orrore,Horror,,,
search,Search,Búsqueda,Recherche,Suche,Cerca,Procurar,,,
explore,Explore,Exploración,Exploration,Erkunden,Esplora,Explorar,,,

//Heroes
latari,Latari,Latari,Latari,Latari,Latari,Latari,,,
dwarf,Dwarf,Enano,Nain,Zwerg,Nano,Anão,,,
gnome,Gnome,Gnomo,Gnome,Gnom,Gnomo,Gnomo,,,
male,Male,Hombre,Homme,Mann,Maschio,Homem,,,
female,Female,Mujer,Femme,Frau,Femmina,Mulher,,,

//monsters
undead,Undead,No Muerto,Mort vivant,Untot,Non-Morto,Morto Vivo,,,
humanoid,Humanoid,Humanoide,Humanoïde,Mensch,Umanoide,Humanoide,,,
spirit,Spirit,Espíritu,Esprit,Geist,Spirito,Espírito,,,
beast,Beast,Bestia,Bête,Bestie,Bestia,Besta,,,
agent,Agent,Agente,Agent,Agent,Agente,Agente,,,
lieutenant,Lieutenant,Teniente,Lieutenant,Leutnant,Luogotenente,Tenente,,,
small,Small,Pequeño,Petit,Klein,Piccolo,Pequeno,,,
medium,Medium,Mediano,Moyen,Mittel,Medio,Médio,,,
huge,Huge,Gigante,Grand,Groß,Gigante,Gigante,,,
massive,Massive,Masivo,Massif,Massiv,Massivo,Massivo,,,
building,Building,Edificio,Bâtiment,Gebäude,Costruire,Construção,,,
melee,Melee,Melé,Mélée,Nahkampf,Corpo a Corpo,Corpo a Corpo,,,
ranged,Ranged,Distancia,Distance,Fernkampf,Distanza,Distancia,,,
goblin,Goblin,Goblin,Goblin,Goblin,Goblin,Goblin,,,
cursed,Cursed,Maldito,Maudit,Verflucht,Meledetto,Amaldiçoado,,,
cave,Cave,Cueva,Cave,Höhle,Cava,Caverna,,,
wilderness,Wilderness,Naturaleza,Etendue sauvage,Wildniss,Selvaggio,Região Selvagem,,,
civilized,Civilized,Civilización,Civilisé,Zivilisiert,Civilizzato,Civilizado,,,
dark,Dark,Oscuridad,Sombre,Dunkel,Oscuro,Escuridão,,,
mountain,Mountain,Montaña,Montagne,Berg,Montagna,Montanha,,,
cold,Cold,Frío,Froid,Kalt,Freddo,Frio,,,
hot,Hot,Caliente,Chaud,Heiß,Caldo,Quente,,,
water,Water,Agua,Eau,Wasser,Acqua,Água,,,

//Tiles
basement,Basement,Sótano,Sous-sol,Keller,Seminterrato,Porão,,,
river,River,Río,Rivière,Fluss,Fiume,Rio,,,
street,Street,Calle,Rue,Straße,Strada,Estrada,,,
hallway,Hallway,Pasillo,Couloir,Flur,Corridoio,Corredor,,,
bathroom,Bathroom,Baño,Salle de bain,Badezimmer,Bagno,Banheiro,,,
bedroom,Bedroom,Dormitorio,Chambre,Schlafraum,Camera da Letto,Quarto,,,
kitchen,Kitchen,Cocina,Cuisine,Küche,Cucina,Cozinha,,,
dock,Dock,Muelle,Quai,Hafen,Molo,Doca,,,
storage,Storage,Almacén,Entrepôt,Lager,Magazzino,Armazém,,,
outside,Outside,Exterior,Extérieur,Außen,Esterno,Externo,,,
inside,Inside,Interior,Intérieur,Innen,Interno,Interno,,,
small,Small,Pequeño,Petit,Klein,Piccola,Pequeno,,,
medium,Medium,Mediano,Moyen,Mittel,Media,Médio,,,
big,Big,Grande,Grand,Groß,Grande,Grande,,,
transition,Transition,Transición,Transition,Übergang,Transizione,Transição,,,
throne,Throne,Trono,Trône,Thron,Trono,Trono,,,
pit,Pit,Abismo,Fosse,Höhle,Abisso,Abismo,,,
farm,Farm,Granja,Grange,Bauernhof,Granaio,Fazenda,,,
tomb,Tomb,Tumba,Tombe,Grab,Tomba,Tumba,,,
library,Library,Biblioteca,Bibliothèque,Bibliothek,Biblioteca,Biblioteca,,,
graves,Graves,Cementerio,Cimetière,Gräber,Cimitero,Cemitério,,,
bridge,Bridge,Puente,Pont,Brücke,Ponte,Ponte,,,
stairs,Stairs,Escaleras,Escaliers,Treppe,Scale,Escada,,,
torture,Torture,Tortura,Torture,Folterkamer,Tortura,Tortura,,,
tents,Tents,Tiendas,Tentes,Zelte,Tende,Tendas,,
stables,Stables,Establos,Etables,Ställe,Stalle,Estábulo,,,
hall,Hall,Salón,Salon,Halle,Salone,Hall,,,
map,Map,Mapa,Carte,Karte,Mappa,Mapa,,,
bedroom,Bedroom,Dormitorio,Chambre,Schlafraum,Camera da Letto,Quarto,,,
city,City,Ciudad,Ville,Stadt,Città,Cidade,,,
fountain,Fountain,Fuente,Fontaine,Fontäne,Fontana,Fonte,,,
blackrealm,Blackrealm,Reino de Oscuridad,Royaume noir,Dunkelreich,Reame Oscuro,Reino Obscuro,,,
altar,Altar,Altar,Autel,Altar,Altare,Altar,,,
beds,Beds,Camas,Lits,Betten,Letti,Camas,,,
study,Study,Estudio,Etude,Studienzimmer,Studio,Estudo,,,
prison,Prison,Prisión,Prison,Gefängnis,Prigione,Prisão,,,
plinth,Plinth,Pedestal,Support,Podest,Plinto,Pedestal,,,
tavern,Tavern,Taberna,Taverne,Taverne,Taverna,Taverna,,,
statues,Statues,Estatuas,Statues,Status,Statue,Estátua,,,
drawbridge,Drawbridge,Puente Levadizo,Pont-levis,Zugbrücke,Ponte Levatoio,Ponte Levadiça,,,
rubble,Rubble,Escombros,décombres,Trümmer,Macerie,Escombros,,,
treasure,Treasure,Tesoro,Trésor,Schatz,Tesoro,Tesouro,,,
stone,Stone,Piedra,Pierre,Stein,Pietra,Pedra,,,
dirt,Dirt,Mugre,Saleté,Dreck,Sporco,Sujeira,,,
timber,Timber,Madera,Bois,Holz,Legname,Madeira,,,
snow,Snow,Nieve,Neige,Schnee,Neve,Neve,,,
lava,Lava,Lava,Lave,Lava,Lava,Lava,,,
